Energía Eléctrica (categoría),Subcategoría,Potencia Nominal (MW),Potencia Nominal (%),Potencia Efectiva (MW),Potencia Efectiva (%),Producción Total (GWh),Producción Total (%),Producción SNI (GWh),Producción SNI (%),Entregada a Servicio Público (GWh),Entregada a Servicio Público (%),Mes,Año
Renovable,Hidráulica,5098.75,58.52%,5064.16,62.56%,24010.39,77.32%,23989.85,88.54%,22768.40,89.68%,Febrero,2021
Renovable,Eólica,21.15,0.24%,21.15,0.26%,74.03,0.24%,68.83,0.25%,72.22,0.28%,Febrero,2021
Renovable,Fotovoltaica,27.63,0.32%,26.74,0.33%,37.98,0.12%,34.10,0.13%,37.41,0.15%,Febrero,2021
Renovable,Biomasa,144.30,1.66%,136.40,1.68%,413.47,1.33%,413.47,1.53%,176.05,0.69%,Febrero,2021
Renovable,Biogas,7.26,0.08%,6.50,0.08%,44.31,0.14%,44.31,0.16%,43.95,0.17%,Febrero,2021
No Renovable,Térmica MCI ,2029.74,23.30%,1633.25,20.18%,4368.91,14.07%,722.53,2.67%,558.94,2.20%,Febrero,2021
No Renovable,Térmica Turbogas ,921.85,10.58%,775.55,9.58%,970.12,3.12%,694.66,2.56%,673.24,2.65%,Febrero,2021
No Renovable,Térmica Turbovapor ,461.63,5.30%,431.50,5.33%,880.51,2.84%,875.57,3.23%,805.83,3.17%,Febrero,2021
Interconexiones,Colombia,540.00,83.08%,525.00,82.68%,251.56,0.81%,251.56,0.93%,251.56,0.99%,Febrero,2021
Interconexiones,Perú,110.00,16.92%,110.00,17.32%,0.00,0.00%,0.00,0.00%,0.00,0.00%,Febrero,2021
Renovable,Hidráulica,5098.75,58.52%,5064.16,62.56%,24427.13,77.69%,24406.70,88.86%,23126.92,90.03%,Marzo,2021
Renovable,Eólica,21.15,0.24%,21.15,0.26%,72.27,0.23%,67.17,0.24%,70.53,0.27%,Marzo,2021
Renovable,Fotovoltaica,27.63,0.32%,26.74,0.33%,38.00,0.12%,34.25,0.12%,37.38,0.15%,Marzo,2021
Renovable,Biomasa,144.30,1.66%,136.40,1.68%,414.12,1.32%,414.12,1.51%,176.05,0.69%,Marzo,2021
Renovable,Biogas,7.26,0.08%,6.50,0.08%,44.44,0.14%,44.44,0.16%,44.14,0.17%,Marzo,2021
No Renovable,Térmica MCI ,2029.74,23.30%,1633.25,20.18%,4389.96,13.96%,728.61,2.65%,548.73,2.14%,Marzo,2021
No Renovable,Térmica Turbogas ,921.85,10.58%,775.55,9.58%,963.42,3.06%,687.48,2.50%,666.01,2.59%,Marzo,2021
No Renovable,Térmica Turbovapor ,461.63,5.30%,431.50,5.33%,840.21,2.67%,833.54,3.03%,766.98,2.99%,Marzo,2021
Interconexiones,Colombia,540.00,83.08%,525.00,82.68%,250.66,0.80%,250.66,0.91%,250.66,0.98%,Marzo,2021
Interconexiones,Perú,110.00,16.92%,110.00,17.32%,0.00,0.00%,0.00,0.00%,0.00,0.00%,Marzo,2021
Renovable,Hidráulica,5098.75,58.51%,5064.16,62.55%,24849.01,77.57%,24828.77,89.00%,23506.39,90.22%,Abril,2021
Renovable,Eólica,21.15,0.24%,21.15,0.26%,71.60,0.22%,66.70,0.24%,69.93,0.27%,Abril,2021
Renovable,Fotovoltaica,27.63,0.32%,26.74,0.33%,38.01,0.12%,34.41,0.12%,37.38,0.14%,Abril,2021
